Material Number,Contribution Margin,Gross Margin %,Profit per Customer,Profit per Product,Profit per Batch,Profit per Plant,Planned Material Cost,Actual Material Cost,Packaging Cost,Labor Cost,Quality Cost,Manufacturing Overhead,Freight Cost,Cost Variance,Production Variance,Purchase Price Variance (PPV),Gross Revenue,Contract Manufacturing Fee,Discounts / Rebates,Freight Revenue,Net Revenue,Customer,Customer Group,Product (Material),Material Description,Product Category,Dosage Form,Formula Version,Batch Number,Plant,Sales Organization,Distribution Channel,Region / Country
MAT225370,35730.47,12.24,12022.99,10263.64,4822.56,5725.22,14698.35,16111.64,1280.59,2038.95,467.6,3299.04,2549.1,2379.3,966.01,1413.29,291864.59,236341.99,31731.33,4475.34,209086,NutriPlus,Retail,Protein Powder - Powder,Whey Protein Powder – Chocolate – 1 kg,Protein Powder,Powder,FV-B-4,BATCH2026015370,PL04,SO-EU01,B2B,Germany
MAT225371,57645.48,14.56,21737.27,20345.7,3558.02,12993.44,19842.8,19551.42,1646.89,3276.16,957.14,1982.86,5090.7,-614.75,-323.37,-291.38,395803.58,315402.32,53475.26,7694.32,269621.38,CarePharma,E-Commerce,Multivitamin Capsules - Capsule,Multivitamin Capsule – Daily Nutrition – 60 Count,Multivitamin Capsules,Capsule,FV-B-1,BATCH2026015371,PL04,SO-IN01,B2B,UK
MAT225372,58598.86,27.88,22269.51,15511.31,6411.57,10543.34,10654.08,11046.65,631.98,1779.46,278.88,1928.44,3317.04,978,585.43,392.57,210153.83,151913.44,28795.6,3370.46,126488.3,WellnessMart,Distributors,Calcium Supplement - Tablet,Calcium + Vitamin D Tablet – Bone Health,Calcium Supplement,Tablet,FV-C-5,BATCH2026015372,PL02,SO-US01,B2C,USA
MAT225373,144119.53,48.48,55467.85,53681.38,8615.63,19715.81,14967.04,16004.6,339.86,2546.91,795.04,1446.23,1635.27,896.54,-141.02,1037.56,297293.22,180890.97,41671.01,8651.43,147871.39,WellnessMart,Distributors,Multivitamin Capsules - Capsule,Multivitamin Capsule – Daily Nutrition – 60 Count,Multivitamin Capsules,Capsule,FV-D-4,BATCH2026015373,PL01,SO-IN01,B2B,South Africa
MAT225374,14336.86,44.04,4759.27,3360.2,1916.92,2581.79,1863.83,1748.22,57.03,253.06,34.66,414.33,3323.15,-38.12,77.49,-115.61,32554.86,20611.01,3443.46,1884.39,19051.94,VitaStore,Distributors,Probiotic Powder - Powder,Probiotic Powder – Unflavored – 30 Servings,Probiotic Powder,Powder,FV-B-5,BATCH2026015374,PL05,SO-US01,B2B,India
MAT225375,145188.89,29.45,32826.31,35927.54,10306.85,32800.01,24651.31,23357.36,1393.5,1650.68,538.96,2851.71,5110.59,962.43,2256.38,-1293.95,492954.96,352044.41,18220.1,2525.23,336349.54,FitLife,Wholesale,Probiotic Capsules - Capsule,Probiotic Capsule – 20 Billion CFU – Gut Health,Probiotic Capsules,Capsule,FV-B-3,BATCH2026015375,PL03,SO-AP01,B2B,USA
MAT225376,192628.18,48.04,58557.92,60207.77,12848.89,50868.5,20100.45,20399.95,472.2,2363.74,766.63,2178.79,6598.97,294.96,-4.54,299.5,401009.15,244981.27,35126.98,5715.42,215569.71,GreenHerb,Wholesale,Post-Workout - Powder,Post-Workout Recovery Powder – Muscle Repair,Post-Workout,Powder,FV-D-3,BATCH2026015376,PL01,SO-AP01,B2B,Brazil
MAT225377,205103.79,47.14,59003.08,50158.42,14865.57,24461.01,21785.82,23582.52,546.34,2330.83,460.51,2575.37,951.2,731.7,-1065,1796.7,435060.49,267939.88,33494.56,2383.02,236828.34,HealthyWorld,Distributors,Vitamin B-Complex - Capsule,Vitamin B-Complex Capsule – Energy Formula – 60 Count,Vitamin B-Complex,Capsule,FV-A-1,BATCH2026015377,PL02,SO-US01,B2B,Singapore
MAT225378,154645.77,44.35,51704.55,35090.83,21522.58,23134.9,17510.21,16268.95,526.01,2404.54,292.91,4055.27,2134.37,-1618.57,-377.31,-1241.26,348675.67,220145.44,37420.63,1518.64,184243.45,CarePharma,Retail,Pet Multivitamin - Tablet,Pet Multivitamin Chew – Dogs – 120 Chews,Pet Multivitamin,Tablet,FV-B-2,BATCH2026015378,PL02,SO-IN01,B2C,Singapore
MAT225379,37150.3,38.26,10837.01,10680.26,3011.61,6171.21,5058.23,5069.78,206.72,554.43,161.22,671.79,2778.47,460.53,448.98,11.55,97094.77,64588.57,7729.68,4486.91,61345.8,WellnessMart,Distributors,Mineral Supplement - Tablet,Magnesium Glycinate Tablet – 400 mg,Mineral Supplement,Tablet,FV-B-1,BATCH2026015379,PL03,SO-EU01,B2B,India
MAT225380,3314.55,16.28,1207.94,868.05,414.88,983.05,1260.2,1333.89,100.75,197.7,32.1,261.86,7866.81,62.67,-11.02,73.69,20359.08,16029.33,2583.22,3232.69,16678.8,GreenHerb,Wholesale,Probiotic Powder - Powder,Probiotic Powder – Unflavored – 30 Servings,Probiotic Powder,Powder,FV-B-5,BATCH2026015380,PL03,SO-AP01,B2C,USA
MAT225381,207153.03,47.84,58500.95,59076.36,22340.13,43050.89,21684.09,24095.04,516.92,2245.67,678.62,3867.01,4405.04,3335.91,924.96,2410.95,433005.02,264997.17,31853.12,4373.93,237517.98,NutriPlus,Retail,Digestive Enzyme - Capsule,Digestive Enzyme Capsule – Broad Spectrum,Digestive Enzyme,Capsule,FV-A-4,BATCH2026015381,PL04,SO-IN01,B2B,India
MAT225382,11540.35,5.74,4047.81,2599.13,1708.2,3055.2,10210.1,11320.75,1007.65,1510.99,166.48,2518.16,6624.88,1974.32,863.67,1110.65,201183.67,170183.25,23737.58,1435.83,147881.5,FitLife,Pharmacy,Prenatal Vitamin - Capsule,Prenatal Multivitamin Capsule – DHA Enriched – 90 Count,Prenatal Vitamin,Capsule,FV-A-2,BATCH2026015382,PL01,SO-AP01,B2B,Canada
MAT225383,51095.86,37.68,19942.6,18108.46,5450.53,9877.87,6964.69,7302.8,291.86,1209.72,338.49,1228.18,3839.5,8.41,-329.7,338.11,135613.11,90651.58,19486.73,7765.68,78930.53,PetCareCo,Retail,Herbal Supplement - Capsule,Ashwagandha Capsule – 600 mg – Stress Support,Herbal Supplement,Capsule,FV-D-1,BATCH2026015383,PL03,SO-EU01,B2C,Germany
MAT225384,100732.82,35.59,34790.95,38207.82,6671.45,18251.85,14260.99,13620.99,650.53,2060.66,781.85,1534.33,3366.44,-1330.02,-690.02,-640,283028.11,192473.11,32405.58,8985.63,169053.16,VitaStore,Wholesale,Multivitamin Tablets - Tablet,Multivitamin Tablet – High Potency – 90 Count,Multivitamin Tablets,Tablet,FV-C-5,BATCH2026015384,PL02,SO-IN01,B2C,UK
MAT225385,82874.16,38.85,29218.87,21256.76,8747.42,8617.25,10812.01,10835.49,430.65,1612.83,260.82,1886,355.22,-510.63,-534.11,23.48,213344.77,141228.1,25424.29,2968.23,118772.04,GreenHerb,Retail,Amino Acid - Powder,Essential Amino Acid Powder – Berry Flavor,Amino Acid,Powder,FV-C-5,BATCH2026015385,PL05,SO-IN01,B2B,Brazil
MAT225386,74989.75,22.89,25660.03,25657.08,9561.43,16791.81,16465.82,17802.59,1122.83,2345.02,749.78,3486.73,5032.93,2468.91,1132.14,1336.77,327574.67,245876.79,36825.06,7164.92,216216.65,WellnessMart,E-Commerce,Mineral Supplement - Tablet,Magnesium Glycinate Tablet – 400 mg,Mineral Supplement,Tablet,FV-D-3,BATCH2026015386,PL03,SO-IN01,B2B,USA
MAT225387,120101.61,49.13,44209.44,40176.23,14131.34,15324.11,12352.93,12139.64,266.26,1967.39,538.95,2409.13,1276.12,204.55,417.84,-213.29,244477.65,147873.93,31602.45,6791.41,123062.89,VitaStore,Wholesale,Synbiotic Formula - Capsule,Synbiotic Capsule – Probiotic + Prebiotic,Synbiotic Formula,Capsule,FV-B-1,BATCH2026015387,PL02,SO-EU01,B2C,Singapore
MAT225388,160322.51,45.79,41418.12,59559.11,14558.57,22552.06,17582.21,17002.53,483.26,1545.87,929.64,2626.32,1786.01,-1188.89,-609.21,-579.68,350130.4,218268.62,20280.48,8603.29,206591.43,FitLife,Distributors,Probiotic (Pet) - Powder,Pet Probiotic Powder – Digestive Health,Probiotic (Pet),Powder,FV-C-1,BATCH2026015388,PL01,SO-IN01,B2B,Australia
MAT225389,194722.42,45.56,77581.4,74452.43,28390.06,45957.07,21408.87,23693.08,597.35,3831.62,1190.07,5199.27,5504.52,4236.56,1952.35,2284.21,427444.52,267022.18,63677.82,9135.23,212479.59,PeakNutrition,Wholesale,Creatine - Powder,Creatine Monohydrate Powder – Micronized – 300 g,Creatine,Powder,FV-B-5,BATCH2026015389,PL03,SO-EU01,B2B,Canada
MAT225390,20457.91,20.1,7347.78,4959.96,1299.6,4661.77,5291.15,5644.74,387.11,811.97,109.06,544.95,5186.99,500.52,146.93,353.59,101800.72,77992.9,12568.1,2279.91,67704.71,BioHealth,Retail,Synbiotic Formula - Capsule,Synbiotic Capsule – Probiotic + Prebiotic,Synbiotic Formula,Capsule,FV-D-1,BATCH2026015390,PL02,SO-US01,B2B,India
MAT225391,59112.52,35.17,20782.88,21790.62,8824.86,14027.62,8571.11,8824.04,397.37,1273.05,447.05,2132.42,5554.84,715.61,462.68,252.93,168069.28,114687.19,19920.94,8462.84,103229.09,PetCareCo,Pharmacy,Calcium Supplement - Tablet,Calcium + Vitamin D Tablet – Bone Health,Calcium Supplement,Tablet,FV-A-3,BATCH2026015391,PL05,SO-US01,B2C,South Africa
MAT225392,67059.02,30.31,14612.33,15367.87,7543.11,6878.63,11201.98,11295.15,616.1,690.45,193.71,2086.08,300.46,294.21,201.04,93.17,221223.72,156930.25,6998.78,1629.29,151560.76,FitLife,Distributors,Vitamin B-Complex - Capsule,Vitamin B-Complex Capsule – Energy Formula – 60 Count,Vitamin B-Complex,Capsule,FV-B-2,BATCH2026015392,PL03,SO-IN01,B2B,Singapore
MAT225393,34894.14,7.25,9303.57,7889.55,4541.23,9413.15,24070.43,24838.66,2310.71,2245.89,397.76,5205.07,6820.76,968.78,200.55,768.23,481218.93,403017.65,30463.46,1478.87,374033.06,HealthyWorld,Retail,Vitamin D - Tablet,Vitamin D3 Tablet – 2000 IU – 120 Count,Vitamin D,Tablet,FV-C-5,BATCH2026015393,PL05,SO-EU01,B2C,Brazil
MAT225394,76190.87,41,19099.77,25171.84,7923.27,16658.94,9450.67,10074.45,340.26,783.88,402.55,1623.5,4827.25,1053.29,429.51,623.78,185840.14,120798.08,9839.14,6588.55,117547.49,PetCareCo,Retail,Probiotic (Pet) - Powder,Pet Probiotic Powder – Digestive Health,Probiotic (Pet),Powder,FV-A-3,BATCH2026015394,PL04,SO-IN01,B2B,South Africa
MAT225395,90705.27,46.84,20171.64,24820.85,10846.85,19527.81,9836.95,9347.39,251.98,634.99,279.47,1950.59,4696.26,-239.82,249.74,-489.56,193644.43,119584.96,6690.68,3808.5,116702.78,HealthyWorld,Retail,Pet Multivitamin - Tablet,Pet Multivitamin Chew – Dogs – 120 Chews,Pet Multivitamin,Tablet,FV-C-3,BATCH2026015395,PL01,SO-US01,B2B,Canada
MAT225396,98987.24,30.14,37892.1,25044.68,13006.42,18337.98,16510.08,15735.47,913.24,2787.21,383.9,3605.33,3524.99,-17.53,757.08,-774.61,328468.9,233329.79,45597.58,2797.45,190529.66,PeakNutrition,Retail,Synbiotic Formula - Capsule,Synbiotic Capsule – Probiotic + Prebiotic,Synbiotic Formula,Capsule,FV-C-4,BATCH2026015396,PL03,SO-AP01,B2B,Canada
MAT225397,90562.14,42.62,29162.55,31473.97,5111.94,9868.33,10770.39,11469.15,356.78,1392.73,504.97,979.67,549.73,1514.24,815.48,698.76,212503.86,136218.86,21103.98,7429.46,122544.34,HealthyWorld,Pharmacy,Herbal Supplement - Capsule,Ashwagandha Capsule – 600 mg – Stress Support,Herbal Supplement,Capsule,FV-B-2,BATCH2026015397,PL02,SO-AP01,B2C,South Africa
MAT225398,206951.71,43.49,78515.17,81387.99,28673.17,54853.77,23804.98,24828.03,751.58,3965.98,1388.25,5487.88,6637.18,2048.44,1025.39,1023.05,475855.75,302722.43,65003.2,9670.25,247389.48,PeakNutrition,Wholesale,Pet Multivitamin - Tablet,Pet Multivitamin Chew – Dogs – 120 Chews,Pet Multivitamin,Tablet,FV-A-3,BATCH2026015398,PL05,SO-EU01,B2C,USA
MAT225399,141242.31,31.54,43287.19,36656.19,15652.5,38055.57,22414.48,20909.07,1183.72,2672,557.71,4110.69,6807.95,-777.27,728.14,-1505.41,447762.04,314567.62,39944.2,3116.82,277740.24,HealthyWorld,Pharmacy,Protein Powder - Powder,Whey Protein Powder – Chocolate – 1 kg,Protein Powder,Powder,FV-C-4,BATCH2026015399,PL02,SO-AP01,B2B,Germany
MAT225400,51479.44,19.87,19672.84,20105.88,5202.95,14660.26,13078.52,14261.64,962.21,2202.39,753.85,2181.71,7406.38,809.17,-373.95,1183.12,259137.34,198865.31,35863.86,9537.51,172538.96,GreenHerb,Wholesale,Metabolic Formula - Capsule,Metabolic Support Capsule – Herbal Blend,Metabolic Formula,Capsule,FV-A-4,BATCH2026015400,PL01,SO-EU01,B2C,Australia
MAT225401,126656.17,39.07,48790.76,32075.62,16180.1,30103.69,16296.99,16802.72,642.56,2776.92,379.92,3457.77,5569.53,857.8,352.07,505.73,324163.74,214179.19,45510.77,2809.23,171477.65,VitaStore,Distributors,Prenatal Vitamin - Capsule,Prenatal Multivitamin Capsule – DHA Enriched – 90 Count,Prenatal Vitamin,Capsule,FV-B-1,BATCH2026015401,PL03,SO-AP01,B2B,Canada
MAT225402,3568.67,10.58,1179.4,1186.16,535.26,1045.23,1921.75,1850.35,173.11,259.08,82.82,480.4,7722.73,-121.72,-50.32,-71.4,33725.13,27620.58,3534.93,6686.72,30772.37,GreenHerb,Retail,Vitamin D - Tablet,Vitamin D3 Tablet – 2000 IU – 120 Count,Vitamin D,Tablet,FV-D-3,BATCH2026015402,PL05,SO-IN01,B2B,Brazil
MAT225403,117707.8,33.69,35335.51,41978.43,7833.66,23019.25,17545.4,19318.22,859.65,2019.97,862.5,1897.32,3926.94,1030.9,-741.92,1772.82,349386.61,241290.58,29742.56,7874.99,219423.01,BioHealth,Retail,Vitamin D - Tablet,Vitamin D3 Tablet – 2000 IU – 120 Count,Vitamin D,Tablet,FV-A-5,BATCH2026015403,PL05,SO-EU01,B2B,Singapore
MAT225404,28290.92,7.97,6912.22,7003.44,4085.29,7207.9,17826.42,18490.1,1688.59,1404.94,390.18,4286.98,6236.34,2026.77,1363.09,663.68,355064.43,295950.49,17331.44,2529.99,281149.04,PeakNutrition,Retail,Digestive Enzyme - Capsule,Digestive Enzyme Capsule – Broad Spectrum,Digestive Enzyme,Capsule,FV-D-1,BATCH2026015404,PL01,SO-EU01,B2B,Singapore
MAT225405,50896.58,27.84,19484.16,13239.71,4328.6,7968.37,9300.38,10384.54,552.36,1570.2,232.81,1298.15,2405.84,1905,820.84,1084.16,182803.65,132185.1,25379.02,3146.36,109952.44,NutriPlus,E-Commerce,Multivitamin Tablets - Tablet,Multivitamin Tablet – High Potency – 90 Count,Multivitamin Tablets,Tablet,FV-A-2,BATCH2026015405,PL05,SO-IN01,B2B,Australia
MAT225406,19673.9,17.3,7002.65,7785.54,2729.24,5314.96,5882.23,5782.15,459.63,890.32,346.65,1357.8,6835.97,322.85,422.93,-100.08,113743.03,88911.16,13803.66,9790.74,84898.24,WellnessMart,Retail,Joint Health - Powder,Pet Joint Support Powder – Glucosamine Blend,Joint Health,Powder,FV-C-5,BATCH2026015406,PL05,SO-IN01,B2C,Australia
MAT225407,54013.36,11.79,14427.02,14112.36,6561.09,10754.95,22919.42,23265.09,2015.11,2145.61,580.29,4618.3,4065.54,1973.29,1627.62,345.67,457963.81,371983.03,29133.63,3202.49,346051.89,NutriPlus,E-Commerce,Multivitamin Capsules - Capsule,Multivitamin Capsule – Daily Nutrition – 60 Count,Multivitamin Capsules,Capsule,FV-A-5,BATCH2026015407,PL04,SO-AP01,B2C,Germany
MAT225408,56568.5,26.16,18863.77,15874.85,4526.58,6853.59,10954.27,10387,683.3,1498.04,330.35,1435.37,1025.07,-738.1,-170.83,-567.27,216218.93,158365.22,23082.24,4150.9,139433.88,HealthyWorld,Pharmacy,Probiotic Powder - Powder,Probiotic Powder – Unflavored – 30 Servings,Probiotic Powder,Powder,FV-B-4,BATCH2026015408,PL03,SO-EU01,B2B,Australia
MAT225409,38560.85,11.74,12425.09,13379.97,3172.57,5253.26,16515.8,17853.73,1453.82,2137.86,772.04,2227.42,1613.09,1025.85,-312.08,1337.93,328584.52,267001.49,32675.49,7402.18,241728.18,GreenHerb,Wholesale,Metabolic Formula - Capsule,Metabolic Support Capsule – Herbal Blend,Metabolic Formula,Capsule,FV-B-3,BATCH2026015409,PL02,SO-US01,B2C,UK
MAT225410,7092.29,32.99,1571.06,2355.15,612,879.89,1316.56,1253.01,66.14,84.24,56.64,186.55,1138.47,-8.98,54.57,-63.55,21497.75,14930.09,730.61,6671.52,20871,VitaStore,E-Commerce,Keto Supplement - Capsule,Keto Support Capsule – Exogenous Ketones,Keto Supplement,Capsule,FV-C-4,BATCH2026015410,PL03,SO-AP01,B2B,Canada
MAT225411,70645.95,33.65,27285.2,26441.52,6118.82,8370.59,10644.65,10538.16,522.36,1820.72,570.24,1514.11,920.97,111.51,218,-106.49,209963.25,145053.33,29614.47,8739.82,124178.68,HealthyWorld,Pharmacy,Iron Supplement - Tablet,Iron Tablet – 65 mg – Gentle Formula,Iron Supplement,Tablet,FV-A-4,BATCH2026015411,PL03,SO-IN01,B2C,South Africa
MAT225412,58430.12,14.27,11755.28,17747.5,6553.94,9099.91,20522.84,20176.54,1714.17,1041.95,737.48,3810.76,2373.86,-66.69,279.61,-346.3,409543.11,327026.66,8506.38,5283.21,323803.49,BioHealth,Distributors,Synbiotic Formula - Capsule,Synbiotic Capsule – Probiotic + Prebiotic,Synbiotic Formula,Capsule,FV-D-3,BATCH2026015412,PL01,SO-US01,B2B,UAE
MAT225413,77052.77,39.14,28172.53,20443.71,8075.9,8714.61,9995.61,10529.2,392.84,1575.88,263.19,1731.01,710.87,842.03,308.44,533.59,196850.12,129983.57,25129.34,3400.73,108254.96,FitLife,Wholesale,BCAA Formula - Powder,BCAA Powder – 2:1:1 Ratio – Lemon Flavor,BCAA Formula,Powder,FV-C-3,BATCH2026015413,PL04,SO-AP01,B2C,Singapore
MAT225414,53831.95,17.73,16272.64,19769.36,4267.68,12607.64,15277.45,14715,1181.91,1779.61,791.53,1982.59,5433.94,291.23,853.68,-562.45,303564.77,236555.77,26254.06,8394.87,218696.58,WellnessMart,E-Commerce,Calcium Supplement - Tablet,Calcium + Vitamin D Tablet – Bone Health,Calcium Supplement,Tablet,FV-C-3,BATCH2026015414,PL01,SO-IN01,B2B,UAE
MAT225415,50662.41,46.53,18499.25,15188.64,3841.71,7194.71,5641.47,5898.43,147.62,887.66,197.17,699.04,1838.5,102.9,-154.06,256.96,108878.62,67425.45,13865.24,5090.25,58650.46,PeakNutrition,Pharmacy,Iron Supplement - Tablet,Iron Tablet – 65 mg – Gentle Formula,Iron Supplement,Tablet,FV-D-4,BATCH2026015415,PL04,SO-US01,B2B,India
MAT225416,45185.96,21.4,14058.98,13741.43,6084.26,11993.6,10704.88,11795.91,758.44,1308.55,385.67,2396.86,6651.68,1895,803.97,1091.03,211180.2,160265.98,19478.93,5301.31,146088.36,CarePharma,Distributors,Herbal Supplement - Capsule,Ashwagandha Capsule – 600 mg – Stress Support,Herbal Supplement,Capsule,FV-C-3,BATCH2026015416,PL04,SO-EU01,B2C,South Africa
MAT225417,35343.01,7.61,8151.88,13565.58,1920.31,3946.26,23227.12,25198.42,2214.77,1624.1,1299.71,2029.28,654.58,4283.85,2312.55,1971.3,464180.67,387812.47,18531.38,9207.5,378488.59,HealthyWorld,Wholesale,Multivitamin Capsules - Capsule,Multivitamin Capsule – Daily Nutrition – 60 Count,Multivitamin Capsules,Capsule,FV-D-3,BATCH2026015417,PL05,SO-US01,B2B,Canada
MAT225418,84074.21,29.46,24779.9,23250.77,12447.59,25108.05,14378.07,14608.47,812.61,1604.3,418.94,3546.97,7947.02,221.07,-9.33,230.4,285393.62,203804.28,23282.4,3950.98,184472.86,PetCareCo,E-Commerce,Prenatal Vitamin - Capsule,Prenatal Multivitamin Capsule – DHA Enriched – 90 Count,Prenatal Vitamin,Capsule,FV-D-5,BATCH2026015418,PL04,SO-US01,B2B,USA
MAT225419,141222.57,31.28,53066.45,50396.69,8850.07,27445.67,22597.32,21978.88,1203.92,3711.54,1112.13,2294.41,3879.39,176.82,795.26,-618.44,451456.07,317821.12,60606.64,7886.14,265100.62,PetCareCo,Wholesale,Calcium Supplement - Tablet,Calcium + Vitamin D Tablet – Bone Health,Calcium Supplement,Tablet,FV-C-4,BATCH2026015419,PL02,SO-US01,B2B,Canada
MAT225420,115925.5,25.68,28507.74,46158.36,12947.96,28649.22,22599.47,21340.03,1429.26,1804.44,1345.64,4178.11,5938.26,-2329.98,-1070.54,-1259.44,451499.55,331913.22,22504.69,9910.46,319318.99,WellnessMart,Wholesale,Probiotic (Pet) - Powder,Pet Probiotic Powder – Digestive Health,Probiotic (Pet),Powder,FV-A-3,BATCH2026015420,PL02,SO-IN01,B2B,USA
MAT225421,83226.39,17.62,18638.7,25267.45,10215,9527.31,23631.62,24540.96,1832.99,1549.49,848.37,4812.67,764.51,845.48,-63.86,909.34,472353.16,368384.22,16800.96,5276.35,356859.61,PeakNutrition,Distributors,Digestive Enzyme - Capsule,Digestive Enzyme Capsule – Broad Spectrum,Digestive Enzyme,Capsule,FV-A-4,BATCH2026015421,PL05,SO-EU01,B2B,UK
MAT225422,151732.69,33.85,42924.73,44428.88,10997.27,23351.69,22437.1,23036.63,1092.84,2330.83,744.97,2652.34,2302.11,2681.81,2082.28,599.53,448218.87,309140.62,33115.78,4747.7,280772.54,FitLife,E-Commerce,Creatine - Powder,Creatine Monohydrate Powder – Micronized – 300 g,Creatine,Powder,FV-C-2,BATCH2026015422,PL03,SO-EU01,B2C,Canada
MAT225423,3311.69,49.99,1199.49,801.12,167.66,340.27,580.39,576.82,11.61,90.21,11.88,47.05,307.2,3.14,6.71,-3.57,6624.16,3974.71,830.87,2253.41,5397.25,HealthyWorld,Distributors,Pet Multivitamin - Tablet,Pet Multivitamin Chew – Dogs – 120 Chews,Pet Multivitamin,Tablet,FV-A-1,BATCH2026015423,PL03,SO-IN01,B2B,UK
MAT225424,128079.36,27.41,43688.84,35575.66,8773.28,37294.67,23383.36,24819.86,1406.9,3313.89,688.42,2606.03,7656.18,815.99,-620.51,1436.5,467337.37,339063.16,52210.9,4010.37,290862.63,HealthyWorld,Distributors,Vitamin B-Complex - Capsule,Vitamin B-Complex Capsule – Energy Formula – 60 Count,Vitamin B-Complex,Capsule,FV-C-5,BATCH2026015424,PL05,SO-EU01,B2B,Singapore
MAT225425,22739.92,31.13,9081.17,5478.66,1778.62,4394.33,3867.76,3675.8,207.09,694.56,78.25,494.94,3836.47,-289.96,-98,-191.96,73042.42,51481.72,10925.47,2205.43,42761.68,WellnessMart,Wholesale,Multivitamin Capsules - Capsule,Multivitamin Capsule – Daily Nutrition – 60 Count,Multivitamin Capsules,Capsule,FV-D-5,BATCH2026015425,PL04,SO-EU01,B2C,UAE
MAT225426,6445.53,26.03,2423.89,1858.46,539.59,748.86,1478.19,1538.04,92.56,243.07,47.43,202.98,831.13,112.67,52.82,59.85,24763.49,18155.99,3329.14,4528.33,19355.18,HealthyWorld,Retail,Amino Acid - Powder,Essential Amino Acid Powder – Berry Flavor,Amino Acid,Powder,FV-D-4,BATCH2026015426,PL04,SO-EU01,B2C,Singapore
MAT225427,5773.83,17.81,1352.67,1645.36,657.41,1347,1857.02,1736.28,143.41,134.22,58.02,350.16,5398.49,-211.74,-91,-120.74,32417.32,25247.52,1370.58,4363.47,28240.41,PetCareCo,Retail,Multivitamin Tablets - Tablet,Multivitamin Tablet – High Potency – 90 Count,Multivitamin Tablets,Tablet,FV-C-3,BATCH2026015427,PL05,SO-IN01,B2C,Canada
MAT225428,66193.67,37.25,23670.09,21734.16,9571.62,9623.11,9048.45,8604.38,386.11,1379.28,380.81,2179.05,1969.75,-748.36,-304.29,-444.07,177713.52,119218.72,21757.91,6488.75,103949.56,NutriPlus,Distributors,Joint Health - Powder,Pet Joint Support Powder – Glucosamine Blend,Joint Health,Powder,FV-B-4,BATCH2026015428,PL05,SO-EU01,B2B,USA
MAT225429,85142.79,27.26,29257.21,28258.06,9013.46,18943.98,15709.7,17314.83,949.19,2252.09,675.09,2748.68,4977.37,911.73,-693.4,1605.13,312298.02,226826.71,35400.98,6662.62,198088.35,HealthyWorld,E-Commerce,Vitamin B-Complex - Capsule,Vitamin B-Complex Capsule – Energy Formula – 60 Count,Vitamin B-Complex,Capsule,FV-A-1,BATCH2026015429,PL02,SO-IN01,B2C,South Africa
MAT225430,78794.51,38.6,18839.02,30866.21,4043.74,9447.6,10356.62,10352.43,417.07,780.98,599.99,851.77,976.17,932.4,936.59,-4.19,204144.04,135418.37,9269.94,9594.79,135743.22,CarePharma,Wholesale,Post-Workout - Powder,Post-Workout Recovery Powder – Muscle Repair,Post-Workout,Powder,FV-A-5,BATCH2026015430,PL03,SO-AP01,B2B,South Africa
MAT225431,5176.45,29.33,1843.16,1364.5,756.42,730.88,1126.08,1163.09,63.9,170.54,29.16,274.1,1806.53,-15.28,-52.29,37.01,17649.37,12616.42,2143.4,3316.27,13789.29,BioHealth,Distributors,Calcium Supplement - Tablet,Calcium + Vitamin D Tablet – Bone Health,Calcium Supplement,Tablet,FV-D-5,BATCH2026015431,PL05,SO-IN01,B2B,India
MAT225432,83086.06,34.5,20648.68,18023.63,4355.74,18769.44,12173.82,13038.34,579.02,992.64,173.26,1024.08,5110.24,984.43,119.91,864.52,240858.9,165261.67,12413.63,1029.44,153877.48,CarePharma,E-Commerce,Pet Multivitamin - Tablet,Pet Multivitamin Chew – Dogs – 120 Chews,Pet Multivitamin,Tablet,FV-C-1,BATCH2026015432,PL02,SO-AP01,B2B,Canada
MAT225433,74752.12,33.39,21760.42,27531.52,8372.43,20204.71,11332.2,10728.82,561.21,1237.65,590.14,2101.04,6841.29,-279.49,323.89,-603.38,223854.72,154965.74,17732.81,8446.9,145679.83,WellnessMart,Retail,Probiotic Powder - Powder,Probiotic Powder – Unflavored – 30 Servings,Probiotic Powder,Powder,FV-C-4,BATCH2026015433,PL01,SO-AP01,B2C,South Africa
MAT225434,90843.21,23.93,23208.51,18770.5,12830.16,9126.16,19042.81,20443.96,1263.47,1638.85,221.97,4476.93,217.96,2088.93,687.78,1401.15,379640.39,282771.45,21283.09,524.64,262013,HealthyWorld,Distributors,Multivitamin Tablets - Tablet,Multivitamin Tablet – High Potency – 90 Count,Multivitamin Tablets,Tablet,FV-D-5,BATCH2026015434,PL02,SO-IN01,B2B,USA
MAT225435,27200.99,18.97,7895.06,5963.74,2938.24,3285.55,7350.52,6816.48,552.53,798.72,108.87,1313.05,1010.72,-165,369.04,-534.04,143408.38,110769.03,11280.78,1143.12,100631.37,CarePharma,Pharmacy,Vitamin D - Tablet,Vitamin D3 Tablet – 2000 IU – 120 Count,Vitamin D,Tablet,FV-B-3,BATCH2026015435,PL05,SO-EU01,B2B,Brazil
MAT225436,55697.12,49.43,14503.08,15151.4,4901.22,11593.15,5829.51,6527.83,122.49,520.31,163.27,842.92,4417.71,934.83,236.51,698.32,112677.93,67963.34,6676.71,3729.57,65016.2,GreenHerb,Distributors,Synbiotic Formula - Capsule,Synbiotic Capsule – Probiotic + Prebiotic,Synbiotic Formula,Capsule,FV-B-4,BATCH2026015436,PL02,SO-IN01,B2B,Australia
